date,exercise,weight,sets,reps
2021-03-09,deadlift,80,1,5
2021-03-09,cable_rows,55,3,5
2021-03-09,cable_rows,55,3,5
2021-03-09,cable_rows,55,3,5
2021-03-09,bench_press,70,3,5
2021-03-09,bench_press,70,3,5
2021-03-09,bench_press,70,3,5
2021-03-09,squat,60,3,5
2021-03-09,squat,60,3,5
2021-03-09,squat,60,3,5
2021-03-11,deadlift,85,1,5
2021-03-11,pull_ups,0,3,5
2021-03-11,pull_ups,0,3,5
2021-03-11,pull_ups,0,3,5
2021-03-11,press,40,3,5
2021-03-11,press,40,3,5
2021-03-11,press,40,3,5
2021-03-11,squat,65,3,5
2021-03-11,squat,65,3,5
2021-03-11,squat,65,3,5
2021-03-13,deadlift,87,1,5
2021-03-13,chin_ups,0,3,6
2021-03-13,chin_ups,0,3,6
2021-03-13,chin_ups,0,3,6
2021-03-13,bench_press,72,3,5
2021-03-13,bench_press,72,3,5
2021-03-13,bench_press,72,3,5
2021-03-13,squat,40,3,10
2021-03-13,squat,40,3,10
2021-03-13,squat,40,3,10
2021-03-16,power_clean,30,5,3
2021-03-16,power_clean,30,5,3
2021-03-16,power_clean,30,5,3
2021-03-16,power_clean,30,5,3
2021-03-16,power_clean,30,5,3
2021-03-16,cable_rows,60,3,5
2021-03-16,cable_rows,60,3,5
2021-03-16,cable_rows,60,3,5
2021-03-16,press,42,3,5
2021-03-16,press,42,3,5
2021-03-16,press,42,3,5
2021-03-16,squat,42,3,10
2021-03-16,squat,42,3,10
2021-03-16,squat,42,3,10
2021-03-18,deadlift,89,1,5
2021-03-18,pull_ups,0,3,6
2021-03-18,pull_ups,0,3,5
2021-03-18,pull_ups,0,3,5
2021-03-18,bench_press,74,3,5
2021-03-18,bench_press,74,3,5
2021-03-18,bench_press,74,3,5
2021-03-18,squat,44,3,10
2021-03-18,squat,44,3,10
2021-03-18,squat,44,3,10
2021-03-20,power_clean,40,5,3
2021-03-20,power_clean,40,5,3
2021-03-20,power_clean,40,5,3
2021-03-20,power_clean,40,5,3
2021-03-20,power_clean,40,5,3
2021-03-20,chin_ups,0,3,7
2021-03-20,chin_ups,0,3,6
2021-03-20,chin_ups,0,3,6
2021-03-20,press,44,3,5
2021-03-20,press,44,3,5
2021-03-20,press,44,3,5
2021-03-20,squat,47,3,10
2021-03-20,squat,47,3,10
2021-03-20,squat,47,3,10
2021-03-23,deadlift,92,1,5
2021-03-23,cable_rows,65,3,5
2021-03-23,cable_rows,65,3,5
2021-03-23,cable_rows,65,3,5
2021-03-23,bench_press,75,3,5
2021-03-23,bench_press,75,3,5
2021-03-23,bench_press,75,3,5
2021-03-23,squat,50,3,10
2021-03-23,squat,50,3,10
2021-03-23,squat,50,3,10
