"date","squat","bench_press","press","cable_rows","pull_ups","chin_ups","power_clean","deadlift"
"2021-03-09",5,5,NA,5,NA,NA,NA,5
"2021-03-11",5,NA,5,NA,"5/5/5",NA,NA,5
"2021-03-13",10,5,NA,NA,NA,"6/6/6",NA,5
"2021-03-16",10,NA,5,5,NA,NA,3,NA
"2021-03-18",10,5,NA,NA,"6/5/5",NA,NA,5
"2021-03-20",10,NA,5,NA,NA,"7/6/6",3,NA
"2021-03-23",10,5,NA,5,NA,NA,NA,5
"2021-03-25",10,NA,5,NA,"6/6/5",NA,3,NA
"2021-03-27",10,5,NA,NA,NA,"7/7/6",NA,5
"2021-03-30",10,NA,5,5,NA,NA,3,NA
"2021-04-01",5,5,NA,NA,"6/6/6",NA,NA,5
"2021-04-06",5,NA,5,NA,NA,"7/7/7",3,NA
"2021-04-08",5,5,NA,5,NA,NA,NA,5
"2021-04-10",5,NA,5,NA,"7/6/6",NA,3,NA
"2021-04-13",5,5,NA,NA,NA,"8/7/7",NA,5
"2021-04-15",5,NA,5,5,NA,NA,3,NA
"2021-04-17",5,5,NA,NA,"7/7/6",NA,NA,5
"2021-04-20",5,NA,5,NA,NA,"8/8/7",3,NA
"2021-04-22",5,5,NA,5,NA,NA,NA,5
