date,exercise,weight,sets,reps
2021-02-16,KB onesided rows,16,3,3
2021-02-16,KB onesided rows,16,3,3
2021-02-16,KB onesided rows,16,3,3
2021-02-16,push_press,8,3,5
2021-02-16,push_press,8,3,5
2021-02-16,push_press,8,3,5
2021-02-16,push_ups kitchen,0,3,10
2021-02-16,push_ups kitchen,0,3,9
2021-02-16,push_ups kitchen,0,3,9
2021-02-16,KB goblet squats,16,3,5
2021-02-16,KB goblet squats,16,3,5
2021-02-16,KB goblet squats,16,3,5
2021-02-18,KB swings,20,3,15
2021-02-18,KB swings,20,3,15
2021-02-18,KB swings,20,3,15
2021-02-18,KB thrusters,8,2,8
2021-02-18,KB thrusters,8,2,8
2021-02-18,KB rows,20,3,7
2021-02-18,KB rows,20,3,7
2021-02-18,KB rows,20,3,7
2021-02-23,KB deadlift,40,3,5
2021-02-23,KB deadlift,40,3,5
2021-02-23,KB deadlift,40,3,5
2021-02-23,push_press,8,3,6
2021-02-23,push_press,8,3,5
2021-02-23,push_press,8,3,5
2021-02-23,push_ups kitchen,0,3,10
2021-02-23,push_ups kitchen,0,3,10
2021-02-23,push_ups kitchen,0,3,10
2021-02-23,KB goblet squats,16,3,6
2021-02-23,KB goblet squats,16,3,5
2021-02-23,KB goblet squats,16,3,5
2021-02-23,KB onesided rows,8,3,12
2021-02-23,KB onesided rows,8,3,12
2021-02-23,KB onesided rows,8,3,12
2021-02-23,KB swings,20,3,15
2021-02-23,KB swings,20,3,15
2021-02-23,KB swings,20,3,15
2021-02-23,KB thrusters,8,2,8
2021-02-23,KB thrusters,8,2,8
2021-02-23,KB rows,20,3,7
2021-02-23,KB rows,20,3,7
2021-02-23,KB rows,20,3,7
2021-02-25,KB swings,20,3,16
2021-02-25,KB swings,20,3,16
2021-02-25,KB swings,20,3,15
2021-02-25,KB thrusters,8,2,10
2021-02-25,KB thrusters,8,2,10
2021-02-25,KB rows,20,3,8
2021-02-25,KB rows,20,3,7
2021-02-25,KB rows,20,3,7
2021-03-02,KB deadlift,40,3,6
2021-03-02,KB deadlift,40,3,6
2021-03-02,KB deadlift,40,3,5
2021-03-02,push_press,8,3,6
2021-03-02,push_press,8,3,6
2021-03-02,push_press,8,3,5
2021-03-02,KB goblet squats,16,3,6
2021-03-02,KB goblet squats,16,3,6
2021-03-02,KB goblet squats,16,3,5
2021-03-02,KB onesided rows,8,3,13
2021-03-02,KB onesided rows,8,3,12
2021-03-02,KB onesided rows,8,3,12
2021-03-02,KB swings,20,3,16
2021-03-02,KB swings,20,3,16
2021-03-02,KB swings,20,3,15
2021-03-02,KB thrusters,8,2,10
2021-03-02,KB thrusters,8,2,10
2021-03-02,KB rows,20,3,8
2021-03-02,KB rows,20,3,7
2021-03-02,KB rows,20,3,7
2021-03-04,KB swings,20,3,16
2021-03-04,KB swings,20,3,16
2021-03-04,KB swings,20,3,15
2021-03-04,KB thrusters,8,2,10
2021-03-04,KB thrusters,8,2,10
2021-03-04,KB rows,20,3,8
2021-03-04,KB rows,20,3,7
2021-03-04,KB rows,20,3,7
2021-03-04,KB deadlift,40,3,6
2021-03-04,KB deadlift,40,3,6
2021-03-04,KB deadlift,40,3,5
2021-03-04,push_press,8,3,6
2021-03-04,push_press,8,3,6
2021-03-04,push_press,8,3,5
2021-03-04,KB goblet squats,16,3,6
2021-03-04,KB goblet squats,16,3,6
2021-03-04,KB goblet squats,16,3,5
2021-03-04,KB onesided rows,8,3,13
2021-03-04,KB onesided rows,8,3,12
2021-03-04,KB onesided rows,8,3,12
2021-03-09,KB deadlift,40,3,6
2021-03-09,KB deadlift,40,3,6
2021-03-09,KB deadlift,40,3,5
2021-03-09,push_press,8,3,6
2021-03-09,push_press,8,3,6
2021-03-09,push_press,8,3,5
2021-03-09,push_ups kitchen,0,3,11
2021-03-09,push_ups kitchen,0,3,10
